object	program	c_insns	rust_insns	c_entry	rust_entry	c_funcs	rust_funcs	c_stack	rust_stack	c_alu64	c_alu32	c_ldx_stack	c_stx_stack	c_ldx_mem	c_stx_mem	c_ld_imm64	c_branch	c_goto	c_call_helper	c_call_bpf2bpf	c_call_kfunc	c_atomic	c_endian	c_exit	c_ld_abs_ind	c_other	rust_alu64	rust_alu32	rust_ldx_stack	rust_stx_stack	rust_ldx_mem	rust_stx_mem	rust_ld_imm64	rust_branch	rust_goto	rust_call_helper	rust_call_bpf2bpf	rust_call_kfunc	rust_atomic	rust_endian	rust_exit	rust_ld_abs_ind	rust_other
arena_atomics	raw_tp/sys_enter:add	44	43	44	43	1	1	8	8	12	2	1	1	1	4	16	1	0	1	0	0	4	0	1	0	0	11	2	1	1	1	4	16	1	0	1	0	0	4	0	1	0	0
arena_atomics	raw_tp/sys_enter:and	19	19	19	19	1	1	0	0	3	2	0	0	1	0	8	1	0	1	0	0	2	0	1	0	0	3	2	0	0	1	0	8	1	0	1	0	0	2	0	1	0	0
arena_atomics	raw_tp/sys_enter:cmpxchg	42	42	42	42	1	1	0	0	11	5	0	0	1	4	14	1	0	1	0	0	4	0	1	0	0	11	5	0	0	1	4	14	1	0	1	0	0	4	0	1	0	0
arena_atomics	raw_tp/sys_enter:load_acquire	34	34	34	34	1	1	0	0	8	1	0	0	0	4	16	0	0	0	0	0	4	0	1	0	0	8	1	0	0	4	4	16	0	0	0	0	0	0	0	1	0	0
arena_atomics	raw_tp/sys_enter:or	19	19	19	19	1	1	0	0	3	2	0	0	1	0	8	1	0	1	0	0	2	0	1	0	0	3	2	0	0	1	0	8	1	0	1	0	0	2	0	1	0	0
arena_atomics	raw_tp/sys_enter:store_release	23	23	23	23	1	1	0	0	7	1	0	0	0	0	10	0	0	0	0	0	4	0	1	0	0	4	4	0	0	0	4	10	0	0	0	0	0	0	0	1	0	0
arena_atomics	raw_tp/sys_enter:sub	46	45	46	45	1	1	8	8	13	3	1	1	1	4	16	1	0	1	0	0	4	0	1	0	0	12	3	1	1	1	4	16	1	0	1	0	0	4	0	1	0	0
arena_atomics	raw_tp/sys_enter:xchg	26	26	26	26	1	1	0	0	6	2	0	0	1	2	10	1	0	1	0	0	2	0	1	0	0	6	2	0	0	1	2	10	1	0	1	0	0	2	0	1	0	0
arena_atomics	raw_tp/sys_enter:xor	19	19	19	19	1	1	0	0	3	2	0	0	1	0	8	1	0	1	0	0	2	0	1	0	0	3	2	0	0	1	0	8	1	0	1	0	0	2	0	1	0	0
arena_atomics	syscall:uaf	3	3	3	3	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
atomic_bounds	fentry/bpf_fentry_test1:sub	8	7	8	7	1	1	4	4	0	3	0	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	2	0	1	0	0	0	1	1	0	0	0	1	0	1	0	0
atomics	raw_tp/sys_enter:add	37	36	37	36	1	1	8	8	5	2	1	1	1	4	16	1	0	1	0	0	4	0	1	0	0	4	2	1	1	1	4	16	1	0	1	0	0	4	0	1	0	0
atomics	raw_tp/sys_enter:and	28	28	28	28	1	1	0	0	1	2	0	0	1	2	16	1	0	1	0	0	3	0	1	0	0	1	2	0	0	1	2	16	1	0	1	0	0	3	0	1	0	0
atomics	raw_tp/sys_enter:cmpxchg	36	36	36	36	1	1	0	0	5	5	0	0	1	4	14	1	0	1	0	0	4	0	1	0	0	5	5	0	0	1	4	14	1	0	1	0	0	4	0	1	0	0
atomics	raw_tp/sys_enter:or	28	28	28	28	1	1	0	0	1	2	0	0	1	2	16	1	0	1	0	0	3	0	1	0	0	1	2	0	0	1	2	16	1	0	1	0	0	3	0	1	0	0
atomics	raw_tp/sys_enter:sub	39	38	39	38	1	1	8	8	6	3	1	1	1	4	16	1	0	1	0	0	4	0	1	0	0	5	3	1	1	1	4	16	1	0	1	0	0	4	0	1	0	0
atomics	raw_tp/sys_enter:xchg	22	22	22	22	1	1	0	0	2	2	0	0	1	2	10	1	0	1	0	0	2	0	1	0	0	2	2	0	0	1	2	10	1	0	1	0	0	2	0	1	0	0
atomics	raw_tp/sys_enter:xor	28	28	28	28	1	1	0	0	1	2	0	0	1	2	16	1	0	1	0	0	3	0	1	0	0	1	2	0	0	1	2	16	1	0	1	0	0	3	0	1	0	0
bad_struct_ops	struct_ops/test_1:test_1	2	2	2	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
bad_struct_ops	struct_ops/test_2:test_2	2	2	2	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
bad_struct_ops2	struct_ops/foo:foo	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
bind4_prog	cgroup/bind4:bind_v4_deny_prog	2	2	2	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
bind4_prog	cgroup/bind4:bind_v4_prog	241	268	64	63	4	4	72	72	52	85	8	11	16	2	10	34	0	15	4	0	0	0	4	0	0	49	78	8	57	16	2	0	34	1	15	4	0	0	0	4	0	0
bind6_prog	cgroup/bind6:bind_v6_deny_prog	2	2	2	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
bind6_prog	cgroup/bind6:bind_v6_prog	304	284	127	129	4	4	72	12	53	108	8	11	43	3	12	43	0	15	4	0	0	0	4	0	0	41	102	8	7	43	3	10	43	4	15	4	0	0	0	4	0	0
bind_perm	cgroup/bind4:bind_v4_prog	12	13	12	13	1	1	0	0	0	3	0	0	4	0	0	4	0	0	0	0	0	0	1	0	0	0	3	0	0	4	0	0	4	1	0	0	0	0	0	1	0	0
